model;accuracy;precision;recall;roc
smote;0.9681;0.8;0.5714;0.7815
smote;0.9707;0.7619;0.7273;0.8566
smote;0.9574;0.5926;0.7619;0.8655
smote;0.9654;0.75;0.6522;0.819
smote;0.9761;0.75;0.8571;0.9201
smote;0.9441;0.52;0.5909;0.7785
smote;0.9707;0.6;0.8;0.8889
smote;0.9574;0.5769;0.75;0.8596
smote;0.9681;0.7143;0.7143;0.8487
smote;0.9601;0.4444;0.2857;0.636
smote;0.9521;0.5938;0.7917;0.8774
smote;0.9441;0.4828;0.7;0.8289
smote;0.9734;0.6667;0.75;0.8667
smote;0.9574;0.6207;0.7826;0.8757
smote;0.9574;0.55;0.6111;0.793
smote;0.9734;0.75;0.875;0.9276
smote;0.9654;0.85;0.6296;0.8105
smote;0.9814;0.8261;0.8636;0.9262
smote;0.9495;0.6071;0.68;0.8243
smote;0.9574;0.6364;0.6364;0.8069
smote;0.9761;0.5714;1.0;0.9876
smote;0.9628;0.7143;0.6522;0.8176
smote;0.9335;0.5;0.64;0.7972
smote;0.9681;0.6667;0.8;0.8888
smote;0.9654;0.6522;0.75;0.8638
smote;0.9495;0.6522;0.5769;0.777
smote;0.9495;0.5909;0.5652;0.7699
smote;0.9495;0.5417;0.619;0.794
smote;0.9548;0.6061;0.8333;0.8982
smote;0.9495;0.5909;0.5652;0.7699
smote;0.9734;0.6364;0.875;0.9264
smote;0.9681;0.68;0.8095;0.8935
smote;0.9601;0.5882;0.5556;0.768
smote;0.9574;0.5938;0.8636;0.9135
smote;0.9495;0.5312;0.8095;0.8836
smote;0.9574;0.625;0.6818;0.8282
smote;0.9707;0.7826;0.75;0.8679
smote;0.9521;0.5217;0.6316;0.8004
smote;0.9495;0.56;0.6364;0.8026
smote;0.9654;0.6842;0.65;0.8166
smote;0.9548;0.6333;0.76;0.8643
smote;0.9468;0.5652;0.5652;0.7684
smote;0.9468;0.55;0.5;0.7373
smote;0.9548;0.5417;0.6842;0.8267
smote;0.9548;0.6;0.7826;0.8743
smote;0.9681;0.7037;0.8261;0.9017
smote;0.9628;0.6667;0.6;0.7916
smote;0.9495;0.4286;0.5625;0.7646
smote;0.9681;0.4706;0.7273;0.8513
smote;0.9548;0.4583;0.7333;0.8487
adasyn;0.9574;0.5833;0.7;0.836
adasyn;0.9495;0.5;0.6842;0.8239
adasyn;0.9734;0.619;0.8667;0.9223
adasyn;0.9521;0.5652;0.619;0.7954
adasyn;0.9628;0.5652;0.7647;0.8684
adasyn;0.9574;0.6667;0.6667;0.822
adasyn;0.9654;0.619;0.7222;0.8499
adasyn;0.9601;0.72;0.6923;0.8362
adasyn;0.9628;0.3333;0.5556;0.7642
adasyn;0.9681;0.65;0.7222;0.8513
adasyn;0.9734;0.8095;0.7391;0.8639
adasyn;0.9495;0.4;0.7143;0.8364
adasyn;0.9681;0.6667;0.8;0.8888
adasyn;0.9654;0.6087;0.7778;0.8763
adasyn;0.9548;0.6087;0.6364;0.8055
adasyn;0.9628;0.64;0.7619;0.8683
adasyn;0.9734;0.7407;0.8696;0.9249
adasyn;0.9734;0.7222;0.7222;0.8541
adasyn;0.9628;0.625;0.75;0.8624
adasyn;0.9521;0.5312;0.85;0.9039
adasyn;0.9548;0.5667;0.8095;0.8865
adasyn;0.9521;0.4783;0.6471;0.8068
adasyn;0.9628;0.7333;0.7857;0.8814
adasyn;0.9521;0.5926;0.6957;0.8322
adasyn;0.9574;0.6552;0.76;0.8658
adasyn;0.9468;0.375;0.6429;0.8007
adasyn;0.9441;0.4688;0.7895;0.8709
adasyn;0.9495;0.6154;0.64;0.8058
adasyn;0.9734;0.72;0.8571;0.9187
adasyn;0.9574;0.5556;0.7895;0.8779
adasyn;0.9601;0.8;0.6667;0.8261
adasyn;0.9521;0.6667;0.7143;0.8428
adasyn;0.9654;0.6471;0.6111;0.7972
adasyn;0.9521;0.5556;0.7143;0.8402
adasyn;0.9548;0.5;0.7647;0.8642
adasyn;0.9707;0.6316;0.75;0.8653
adasyn;0.9574;0.5357;0.8333;0.8985
adasyn;0.9654;0.5833;0.8235;0.8978
adasyn;0.9574;0.5909;0.65;0.8124
adasyn;0.9574;0.6;0.7143;0.8431
adasyn;0.9415;0.5172;0.6522;0.8063
adasyn;0.9681;0.7143;0.7143;0.8487
adasyn;0.9628;0.619;0.6842;0.8309
adasyn;0.9495;0.4444;0.4706;0.7214
adasyn;0.9707;0.6471;0.6875;0.8354
adasyn;0.9495;0.5385;0.6667;0.8164
adasyn;0.9681;0.7742;0.8276;0.9037
adasyn;0.9415;0.5172;0.6522;0.8063
adasyn;0.9548;0.6154;0.6957;0.8337
adasyn;0.9654;0.76;0.7308;0.8568
ros;0.9761;0.6316;0.8571;0.9189
ros;0.9681;0.6842;0.6842;0.8337
ros;0.9787;0.6875;0.7857;0.886
ros;0.9654;0.7692;0.7407;0.8618
ros;0.9787;0.84;0.84;0.9143
ros;0.9601;0.7586;0.7333;0.8566
ros;0.9867;0.9286;0.7647;0.881
ros;0.9787;0.85;0.7727;0.8821
ros;0.9787;0.7778;0.913;0.948
ros;0.9628;0.7407;0.7407;0.8603
ros;0.9707;0.7143;0.8696;0.9235
ros;0.9787;0.8696;0.8;0.8957
ros;0.9761;0.8148;0.8462;0.9159
ros;0.9814;0.8261;0.8636;0.9262
ros;0.984;0.7895;0.8824;0.9356
ros;0.9787;0.6957;0.9412;0.9608
ros;0.9787;0.8;0.8;0.8944
ros;0.9707;0.6957;0.8;0.8902
ros;0.9814;0.8095;0.85;0.9194
ros;0.9681;0.7895;0.6522;0.8204
ros;0.9681;0.6538;0.85;0.9124
ros;0.9654;0.7391;0.7083;0.8456
ros;0.9601;0.6786;0.76;0.8672
ros;0.9787;0.7917;0.8636;0.9248
ros;0.9707;0.6957;0.8;0.8902
ros;0.9734;0.7143;0.7895;0.8863
ros;0.9601;0.6667;0.6957;0.8365
ros;0.9814;0.92;0.8214;0.9078
ros;0.9548;0.6364;0.8077;0.8867
ros;0.9787;0.7;0.875;0.9292
ros;0.9601;0.6364;0.6667;0.8221
ros;0.9548;0.6333;0.76;0.8643
ros;0.9681;0.4286;0.6;0.7891
ros;0.9681;0.6111;0.6875;0.834
ros;0.9707;0.5;0.9091;0.9408
ros;0.9707;0.6897;0.9091;0.9418
ros;0.9787;0.7917;0.8636;0.9248
ros;0.9707;0.6667;0.7778;0.8791
ros;0.9734;0.7826;0.7826;0.8842
ros;0.9654;0.7619;0.6667;0.8262
ros;0.9707;0.7586;0.8462;0.9131
ros;0.9787;0.7391;0.8947;0.939
ros;0.9681;0.7692;0.7692;0.876
ros;0.9761;0.8421;0.7273;0.8594
ros;0.9761;0.6875;0.7333;0.8597
ros;0.9681;0.7692;0.7692;0.876
ros;0.9681;0.7083;0.7727;0.8765
ros;0.9867;0.8889;0.8421;0.9183
ros;0.9761;0.7778;0.875;0.929
ros;0.9628;0.619;0.6842;0.8309
smoteenn;0.9574;0.6364;0.84;0.9029
smoteenn;0.9734;0.7917;0.7917;0.8887
smoteenn;0.9495;0.5172;0.75;0.8553
smoteenn;0.9548;0.6154;0.6957;0.8337
smoteenn;0.9654;0.6;0.8333;0.9027
smoteenn;0.9574;0.5938;0.8636;0.9135
smoteenn;0.9282;0.4865;0.6923;0.819
smoteenn;0.9495;0.5758;0.7917;0.8759
smoteenn;0.9574;0.5556;0.5556;0.7666
smoteenn;0.9548;0.625;0.8;0.8829
smoteenn;0.9415;0.4848;0.7619;0.857
smoteenn;0.9548;0.45;0.6;0.7848
smoteenn;0.9468;0.4242;0.9333;0.9404
smoteenn;0.9601;0.5417;0.7647;0.867
smoteenn;0.9441;0.4375;0.8235;0.8867
smoteenn;0.9548;0.5938;0.8261;0.8946
smoteenn;0.9574;0.6333;0.7917;0.8802
smoteenn;0.9734;0.75;0.8182;0.9006
smoteenn;0.9335;0.5161;0.6154;0.7863
smoteenn;0.9388;0.4571;0.8;0.8733
smoteenn;0.9628;0.6774;0.84;0.9058
smoteenn;0.9495;0.6667;0.7742;0.8697
smoteenn;0.9654;0.6522;0.75;0.8638
smoteenn;0.9707;0.6316;0.75;0.8653
smoteenn;0.9468;0.6;0.7778;0.8688
smoteenn;0.9309;0.4054;0.7895;0.8639
smoteenn;0.9654;0.6364;0.7368;0.8572
smoteenn;0.9654;0.6429;0.8571;0.9145
smoteenn;0.9628;0.697;0.8519;0.9116
smoteenn;0.9441;0.4857;0.85;0.8997
smoteenn;0.9441;0.48;0.6;0.7817
smoteenn;0.9495;0.5758;0.7917;0.8759
smoteenn;0.9495;0.6;0.8889;0.9215
smoteenn;0.9521;0.56;0.6667;0.8178
smoteenn;0.9495;0.6;0.72;0.8429
smoteenn;0.9548;0.6286;0.8462;0.9045
smoteenn;0.9495;0.5172;0.75;0.8553
smoteenn;0.9468;0.4074;0.7333;0.8445
smoteenn;0.9654;0.6786;0.8261;0.9003
smoteenn;0.9441;0.3333;0.6154;0.7857
smoteenn;0.9441;0.3684;0.4375;0.7021
smoteenn;0.9415;0.4571;0.8421;0.8944
smoteenn;0.9521;0.56;0.6667;0.8178
smoteenn;0.9415;0.4722;0.85;0.8983
smoteenn;0.9601;0.5484;0.9444;0.9527
smoteenn;0.9628;0.4815;1.0;0.9807
smoteenn;0.9574;0.5484;0.8947;0.9278
smoteenn;0.9654;0.5833;0.8235;0.8978
smoteenn;0.9521;0.56;0.6667;0.8178
smoteenn;0.9574;0.5588;0.95;0.9539
cnn;0.9362;0.4103;0.9412;0.9386
cnn;0.9468;0.5;0.75;0.8539
cnn;0.9521;0.6389;0.8214;0.892
cnn;0.9601;0.6286;0.9167;0.9399
cnn;0.9628;0.6552;0.8261;0.8989
cnn;0.9282;0.4889;0.8462;0.8902
cnn;0.9601;0.6842;0.8966;0.931
cnn;0.9202;0.3864;0.85;0.8871
cnn;0.9495;0.4828;0.7778;0.8679
cnn;0.9601;0.6286;0.9167;0.9399
cnn;0.9681;0.7179;0.9655;0.9669
cnn;0.9628;0.6296;0.8095;0.8907
cnn;0.9654;0.6757;0.9615;0.9636
cnn;0.9654;0.68;0.7727;0.8751
cnn;0.9761;0.7667;0.92;0.95
cnn;0.9654;0.6562;0.913;0.9409
cnn;0.9707;0.5833;0.9333;0.9528
cnn;0.9574;0.6;0.8182;0.8921
cnn;0.9681;0.5926;0.9412;0.9553
cnn;0.9601;0.5769;0.7895;0.8793
cnn;0.9628;0.6667;0.8333;0.9025
cnn;0.9681;0.6667;0.6667;0.825
cnn;0.9654;0.6774;0.875;0.9233
cnn;0.9548;0.5417;0.6842;0.8267
cnn;0.9548;0.6364;0.8077;0.8867
cnn;0.9654;0.6538;0.8095;0.8921
cnn;0.9628;0.68;0.7391;0.8582
cnn;0.9548;0.65;0.8966;0.9281
cnn;0.9574;0.6129;0.8261;0.896
cnn;0.9628;0.6071;0.85;0.9096
cnn;0.9441;0.4828;0.7;0.8289
cnn;0.9495;0.4667;0.8235;0.8895
cnn;0.9441;0.6;0.75;0.8549
cnn;0.9548;0.5526;1.0;0.9761
cnn;0.9601;0.5652;0.7222;0.8471
cnn;0.9574;0.6;0.913;0.9367
cnn;0.9441;0.4194;0.8125;0.8812
cnn;0.9468;0.5789;0.8462;0.9002
cnn;0.9441;0.4857;0.85;0.8997
cnn;0.9468;0.5588;0.7917;0.8745
cnn;0.9654;0.6667;0.9167;0.9427
cnn;0.9628;0.6333;0.8636;0.9163
cnn;0.9601;0.6207;0.8182;0.8936
cnn;0.9441;0.4483;0.7222;0.8388
cnn;0.9548;0.5333;0.8421;0.9014
cnn;0.9282;0.4634;0.7917;0.8646
cnn;0.9654;0.6;0.9474;0.9569
cnn;0.9548;0.5;1.0;0.9763
cnn;0.9654;0.6538;0.8095;0.8921
cnn;0.9468;0.5676;0.84;0.8972
rus;0.9016;0.3333;0.9474;0.9233
rus;0.9096;0.3704;1.0;0.9522
rus;0.8803;0.3125;0.9524;0.9142
rus;0.891;0.3594;1.0;0.9419
rus;0.9043;0.3684;1.0;0.9493
rus;0.859;0.2838;1.0;0.9254
rus;0.891;0.4225;1.0;0.9408
rus;0.8697;0.2727;0.9474;0.9065
rus;0.8989;0.377;1.0;0.9462
rus;0.8963;0.2778;1.0;0.946
rus;0.8723;0.2769;0.9474;0.9079
rus;0.9202;0.3958;0.95;0.9343
rus;0.9069;0.4262;1.0;0.95
rus;0.9282;0.5455;0.9375;0.9324
rus;0.9441;0.5128;0.9091;0.9277
rus;0.9122;0.4107;1.0;0.9533
rus;0.9016;0.3684;0.9545;0.9264
rus;0.9176;0.3617;0.9444;0.9303
rus;0.9096;0.3462;1.0;0.9525
rus;0.9122;0.25;1.0;0.9548
rus;0.9362;0.5;1.0;0.9659
rus;0.9122;0.4407;1.0;0.9529
rus;0.8697;0.3143;0.9565;0.9103
rus;0.9335;0.4565;1.0;0.9648
rus;0.9096;0.3585;1.0;0.9524
rus;0.9096;0.3529;0.9474;0.9275
rus;0.9069;0.3585;0.95;0.9272
rus;0.9043;0.3396;0.9474;0.9247
rus;0.9202;0.4375;0.875;0.8991
rus;0.9282;0.3235;0.7333;0.8348
rus;0.9149;0.3878;0.9048;0.9101
rus;0.9335;0.4565;1.0;0.9648
rus;0.9415;0.4878;0.9524;0.9466
rus;0.9282;0.4048;0.8947;0.9124
rus;0.9202;0.375;1.0;0.9581
rus;0.9468;0.5349;1.0;0.9717
rus;0.9335;0.537;1.0;0.964
rus;0.9176;0.463;0.9259;0.9214
rus;0.8856;0.3485;1.0;0.9391
rus;0.9043;0.3793;1.0;0.9492
rus;0.9202;0.4314;0.9565;0.9372
rus;0.9309;0.4902;1.0;0.963
rus;0.9415;0.5111;1.0;0.9688
rus;0.9255;0.3488;1.0;0.9612
rus;0.9069;0.3929;0.9565;0.9301
rus;0.9335;0.3902;1.0;0.9653
rus;0.9309;0.4565;0.9545;0.942
rus;0.9255;0.4717;1.0;0.9601
rus;0.9335;0.4524;0.9048;0.92
rus;0.9202;0.3556;0.9412;0.9302
